;solver;instance;counter;iteration;local best;current best;time;cum time;opt obj value
0;DTSS;QPLIB_3565.qs;1;1;278.0;278.0;0.29623;0.29623;282.0
1;DTSS;QPLIB_3565.qs;1;2;278.0;278.0;0.198198;0.494428;282.0
2;DTSS;QPLIB_3565.qs;1;3;278.0;278.0;0.201437;0.695865;282.0
3;DTSS;QPLIB_3565.qs;1;4;278.0;278.0;0.201907;0.897772;282.0
4;DTSS;QPLIB_3565.qs;1;5;278.0;278.0;0.196118;1.09389;282.0
5;DTSS;QPLIB_3565.qs;1;6;278.0;278.0;0.189203;1.283093;282.0
6;DTSS;QPLIB_3565.qs;1;7;278.0;278.0;0.190451;1.473544;282.0
7;DTSS;QPLIB_3565.qs;1;8;278.0;278.0;0.230064;1.703608;282.0
8;DTSS;QPLIB_3565.qs;1;9;278.0;278.0;0.189289;1.892897;282.0
9;DTSS;QPLIB_3565.qs;1;10;278.0;278.0;0.189178;2.082075;282.0
10;DTSS;QPLIB_3565.qs;1;11;278.0;278.0;0.190351;2.272426;282.0
11;DTSS;QPLIB_3565.qs;1;12;278.0;278.0;0.189361;2.461787;282.0
12;DTSS;QPLIB_3565.qs;1;13;278.0;278.0;0.189198;2.650985;282.0
13;DTSS;QPLIB_3565.qs;1;14;278.0;278.0;0.19974;2.850725;282.0
14;DTSS;QPLIB_3565.qs;1;15;278.0;278.0;0.195484;3.046209;282.0
15;DTSS;QPLIB_3565.qs;1;16;278.0;278.0;0.197109;3.243318;282.0
16;DTSS;QPLIB_3565.qs;1;17;278.0;278.0;0.190042;3.43336;282.0
17;DTSS;QPLIB_3565.qs;1;18;278.0;278.0;0.198234;3.631594;282.0
18;DTSS;QPLIB_3565.qs;1;19;278.0;278.0;0.203332;3.834926;282.0
19;DTSS;QPLIB_3565.qs;1;20;278.0;278.0;0.226106;4.061032;282.0
20;DTSS;QPLIB_3565.qs;1;21;276.0;278.0;0.193312;4.254344;282.0
21;DTSS;QPLIB_3565.qs;1;22;282.0;282.0;0.38294;4.637284;282.0
22;DTSS;QPLIB_3565.qs;1;23;282.0;282.0;0.188279;4.825563;282.0
23;DTSS;QPLIB_3565.qs;1;24;282.0;282.0;0.195801;5.021364;282.0
24;DTSS;QPLIB_3565.qs;1;25;282.0;282.0;0.20673;5.2280940000000005;282.0
25;DTSS;QPLIB_3565.qs;1;26;282.0;282.0;0.202532;5.430626;282.0
26;DTSS;QPLIB_3565.qs;1;27;282.0;282.0;0.210219;5.640845;282.0
27;DTSS;QPLIB_3565.qs;1;28;282.0;282.0;0.210544;5.851389;282.0
28;DTSS;QPLIB_3565.qs;1;29;282.0;282.0;0.209413;6.060802;282.0
29;DTSS;QPLIB_3565.qs;1;30;282.0;282.0;0.202596;6.2633980000000005;282.0
30;DTSS;QPLIB_3565.qs;1;31;282.0;282.0;0.201881;6.465279;282.0
31;DTSS;QPLIB_3565.qs;1;32;282.0;282.0;0.202813;6.668092;282.0
32;DTSS;QPLIB_3565.qs;1;33;282.0;282.0;0.201878;6.86997;282.0
33;DTSS;QPLIB_3565.qs;1;34;282.0;282.0;0.208793;7.078763;282.0
34;DTSS;QPLIB_3565.qs;1;35;282.0;282.0;0.226151;7.304914;282.0
35;DTSS;QPLIB_3565.qs;1;36;282.0;282.0;0.202164;7.507078;282.0
36;DTSS;QPLIB_3565.qs;1;37;282.0;282.0;0.208261;7.715339;282.0
37;DTSS;QPLIB_3565.qs;1;38;282.0;282.0;0.211219;7.926558;282.0
