;Unnamed: 0;instance;size;density;obj value;time;opt obj value;opt obj value from file;gap;gap %;counter;cum time
0;0;QPLIB_3693.qs;1128;0.00232241;1124;236.43s;1150;1150;26;0.18179063778215424;1;
1;1;QPLIB_3693.qs;1128;0.00232241;1120;528.05s;1150;1150;30;0.21208907741251323;2;
2;2;QPLIB_3693.qs;1128;0.00232241;1128;591.53s;1150;1150;22;0.15149219815179518;3;
3;3;QPLIB_3693.qs;1128;0.00232241;1124;507.11s;1150;1150;26;0.18179063778215424;4;
4;4;QPLIB_3693.qs;1128;0.00232241;1126;389.85s;1150;1150;24;0.16664141796697468;5;
5;5;QPLIB_3693.qs;1128;0.00232241;1130;340.09s;1150;1150;20;0.13634297833661566;6;
6;6;QPLIB_3693.qs;1128;0.00232241;1128;372.84s;1150;1150;22;0.15149219815179518;7;
7;7;QPLIB_3693.qs;1128;0.00232241;1120;229.53s;1150;1150;30;0.21208907741251323;8;
8;8;QPLIB_3693.qs;1128;0.00232241;1120;202.04s;1150;1150;30;0.21208907741251323;9;
9;9;QPLIB_3693.qs;1128;0.00232241;1120;412.13s;1150;1150;30;0.21208907741251323;10;
10;10;QPLIB_3693.qs;1128;0.00232241;1112;205.80s;1150;1150;38;0.2726859566732313;11;
11;11;QPLIB_3693.qs;1128;0.00232241;1122;249.96s;1150;1150;28;0.19693985759733373;12;
12;12;QPLIB_3693.qs;1128;0.00232241;1120;249.57s;1150;1150;30;0.21208907741251323;13;
13;13;QPLIB_3693.qs;1128;0.00232241;1126;360.81s;1150;1150;24;0.16664141796697468;14;
14;14;QPLIB_3693.qs;1128;0.00232241;1130;599.18s;1150;1150;20;0.13634297833661566;15;
15;15;QPLIB_3693.qs;1128;0.00232241;1124;263.00s;1150;1150;26;0.18179063778215424;16;
16;16;QPLIB_3693.qs;1128;0.00232241;1126;206.00s;1150;1150;24;0.16664141796697468;17;
17;17;QPLIB_3693.qs;1128;0.00232241;1118;196.35s;1150;1150;32;0.22723829722769276;18;
18;18;QPLIB_3693.qs;1128;0.00232241;1116;205.26s;1150;1150;34;0.24238751704287234;19;
19;19;QPLIB_3693.qs;1128;0.00232241;1122;289.24s;1150;1150;28;0.19693985759733373;20;
20;20;QPLIB_3693.qs;1128;0.00232241;1134;427.67s;1150;1150;16;0.10604453870625662;21;
21;21;QPLIB_3693.qs;1128;0.00232241;1104;198.02s;1150;1150;46;0.33328283593394936;22;
22;22;QPLIB_3693.qs;1128;0.00232241;1124;200.07s;1150;1150;26;0.18179063778215424;23;
23;23;QPLIB_3693.qs;1128;0.00232241;1120;339.12s;1150;1150;30;0.21208907741251323;24;
24;24;QPLIB_3693.qs;1128;0.00232241;1112;197.85s;1150;1150;38;0.2726859566732313;25;
25;25;QPLIB_3693.qs;1128;0.00232241;1124;227.39s;1150;1150;26;0.18179063778215424;26;
26;26;QPLIB_3693.qs;1128;0.00232241;1122;193.57s;1150;1150;28;0.19693985759733373;27;
27;27;QPLIB_3693.qs;1128;0.00232241;1122;430.62s;1150;1150;28;0.19693985759733373;28;
28;28;QPLIB_3693.qs;1128;0.00232241;1126;299.14s;1150;1150;24;0.16664141796697468;29;
29;29;QPLIB_3693.qs;1128;0.00232241;1124;205.15s;1150;1150;26;0.18179063778215424;30;
30;30;QPLIB_3693.qs;1128;0.00232241;1114;215.04s;1150;1150;36;0.25753673685805184;31;
31;31;QPLIB_3693.qs;1128;0.00232241;1112;211.26s;1150;1150;38;0.2726859566732313;32;
