;instance;size;density;obj value;time;opt obj value;opt obj value from file;gap;gap %;counter;cum time
0;QPLIB_5725.qs;343;0.0116533;33217183;62.17s;33611981;33611981;394798;1.174575220663132;1;
1;QPLIB_5725.qs;343;0.0116533;33611981;63.80s;33611981;33611981;0;0.0;2;28.038733
2;QPLIB_5725.qs;343;0.0116533;33525373;76.63s;33611981;33611981;86608;0.25767002545907663;3;
3;QPLIB_5725.qs;343;0.0116533;33577224;93.29s;33611981;33611981;34757;0.10340657993350645;4;
4;QPLIB_5725.qs;343;0.0116533;32971718;61.87s;33611981;33611981;640263;1.9048654109378438;5;
5;QPLIB_5725.qs;343;0.0116533;33223274;75.05s;33611981;33611981;388707;1.156453706194824;6;
6;QPLIB_5725.qs;343;0.0116533;32675892;63.09s;33611981;33611981;936089;2.7849861036158505;7;
7;QPLIB_5725.qs;343;0.0116533;33611981;142.58s;33611981;33611981;0;0.0;8;107.08183
8;QPLIB_5725.qs;343;0.0116533;33611981;110.10s;33611981;33611981;0;0.0;9;72.874106
9;QPLIB_5725.qs;343;0.0116533;33577224;64.62s;33611981;33611981;34757;0.10340657993350645;10;
10;QPLIB_5725.qs;343;0.0116533;33260153;85.81s;33611981;33611981;351828;1.0467339012240904;11;
11;QPLIB_5725.qs;343;0.0116533;33611981;77.62s;33611981;33611981;0;0.0;12;41.197244
12;QPLIB_5725.qs;343;0.0116533;33611981;65.31s;33611981;33611981;0;0.0;13;26.680952
13;QPLIB_5725.qs;343;0.0116533;33577224;74.37s;33611981;33611981;34757;0.10340657993350645;14;
14;QPLIB_5725.qs;343;0.0116533;33611981;100.35s;33611981;33611981;0;0.0;15;62.672366
15;QPLIB_5725.qs;343;0.0116533;33306159;73.16s;33611981;33611981;305822;0.9098600882822111;16;
16;QPLIB_5725.qs;343;0.0116533;32985562;43.69s;33611981;33611981;626419;1.8636777165856426;17;
17;QPLIB_5725.qs;343;0.0116533;33347084;81.58s;33611981;33611981;264897;0.788102908900252;18;
18;QPLIB_5725.qs;343;0.0116533;33611981;39.69s;33611981;33611981;0;0.0;19;1.922441
19;QPLIB_5725.qs;343;0.0116533;33278218;103.62s;33611981;33611981;333763;0.992988184778517;20;
20;QPLIB_5725.qs;343;0.0116533;33206848;98.43s;33611981;33611981;405133;1.2053231852058943;21;
21;QPLIB_5725.qs;343;0.0116533;33416376;51.75s;33611981;33611981;195605;0.581950227807162;22;
22;QPLIB_5725.qs;343;0.0116533;33157316;65.25s;33611981;33611981;454665;1.352687305160621;23;
23;QPLIB_5725.qs;343;0.0116533;33525373;87.21s;33611981;33611981;86608;0.25767002545907663;24;
24;QPLIB_5725.qs;343;0.0116533;33153320;52.12s;33611981;33611981;458661;1.3645759230912335;25;
25;QPLIB_5725.qs;343;0.0116533;33459812;52.10s;33611981;33611981;152169;0.45272249796880465;26;
26;QPLIB_5725.qs;343;0.0116533;33185309;70.85s;33611981;33611981;426672;1.2694045019244775;27;
27;QPLIB_5725.qs;343;0.0116533;33611981;73.34s;33611981;33611981;0;0.0;28;37.669006
28;QPLIB_5725.qs;343;0.0116533;33611981;80.70s;33611981;33611981;0;0.0;29;42.841549
29;QPLIB_5725.qs;343;0.0116533;33096438;63.67s;33611981;33611981;515543;1.5338072456961105;30;
30;QPLIB_5725.qs;343;0.0116533;33611981;76.95s;33611981;33611981;0;0.0;31;39.429431
31;QPLIB_5725.qs;343;0.0116533;33109015;46.13s;33611981;33611981;502966;1.4963890405626492;32;
32;QPLIB_5725.qs;343;0.0116533;33352030;90.87s;33611981;33611981;259951;0.7733879178379875;33;
33;QPLIB_5725.qs;343;0.0116533;33283935;68.36s;33611981;33611981;328046;0.9759793687851961;34;
34;QPLIB_5725.qs;343;0.0116533;33525373;79.92s;33611981;33611981;86608;0.25767002545907663;35;
35;QPLIB_5725.qs;343;0.0116533;33442529;49.17s;33611981;33611981;169452;0.5041416630575865;36;
36;QPLIB_5725.qs;343;0.0116533;33611981;112.02s;33611981;33611981;0;0.0;37;74.992566
37;QPLIB_5725.qs;343;0.0116533;33611981;111.87s;33611981;33611981;0;0.0;38;74.551331
38;QPLIB_5725.qs;343;0.0116533;33374961;85.33s;33611981;33611981;237020;0.705165220699131;39;
39;QPLIB_5725.qs;343;0.0116533;33577224;161.47s;33611981;33611981;34757;0.10340657993350645;40;
40;QPLIB_5725.qs;343;0.0116533;33611981;91.91s;33611981;33611981;0;0.0;41;52.630337
41;QPLIB_5725.qs;343;0.0116533;33169730;46.08s;33611981;33611981;442251;1.3157540461539592;42;
42;QPLIB_5725.qs;343;0.0116533;33611981;66.94s;33611981;33611981;0;0.0;43;30.841599
43;QPLIB_5725.qs;343;0.0116533;33095102;49.84s;33611981;33611981;516879;1.537782018858097;44;
44;QPLIB_5725.qs;343;0.0116533;33111522;75.26s;33611981;33611981;500459;1.4889303906247002;45;
45;QPLIB_5725.qs;343;0.0116533;33329430;51.70s;33611981;33611981;282551;0.8406258470751844;46;
46;QPLIB_5725.qs;343;0.0116533;33514666;87.05s;33611981;33611981;97315;0.2895247382176016;47;
47;QPLIB_5725.qs;343;0.0116533;33577224;63.80s;33611981;33611981;34757;0.10340657993350645;48;
48;QPLIB_5725.qs;343;0.0116533;33611981;66.45s;33611981;33611981;0;0.0;49;27.67639
49;QPLIB_5725.qs;343;0.0116533;33325266;80.34s;33611981;33611981;286715;0.8530142867806573;50;
50;QPLIB_5725.qs;343;0.0116533;33611981;99.78s;33611981;33611981;0;0.0;51;65.27089
51;QPLIB_5725.qs;343;0.0116533;33424721;44.36s;33611981;33611981;187260;0.5571227711928077;52;
52;QPLIB_5725.qs;343;0.0116533;33525373;182.64s;33611981;33611981;86608;0.25767002545907663;53;
53;QPLIB_5725.qs;343;0.0116533;33611981;64.58s;33611981;33611981;0;0.0;54;25.018983
54;QPLIB_5725.qs;343;0.0116533;32904293;63.89s;33611981;33611981;707688;2.1054635250448346;55;
55;QPLIB_5725.qs;343;0.0116533;33611981;139.91s;33611981;33611981;0;0.0;56;103.781266
56;QPLIB_5725.qs;343;0.0116533;33568545;71.25s;33611981;33611981;43436;0.12922772983835734;57;
57;QPLIB_5725.qs;343;0.0116533;32969418;51.26s;33611981;33611981;642563;1.9117082090460542;58;
58;QPLIB_5725.qs;343;0.0116533;33265077;112.06s;33611981;33611981;346904;1.0320843630132959;59;
59;QPLIB_5725.qs;343;0.0116533;33231914;77.83s;33611981;33611981;380067;1.1307485863448514;60;
60;QPLIB_5725.qs;343;0.0116533;33443912;53.04s;33611981;33611981;168069;0.5000270588038236;61;
61;QPLIB_5725.qs;343;0.0116533;33568545;72.38s;33611981;33611981;43436;0.12922772983835734;62;
62;QPLIB_5725.qs;343;0.0116533;33611981;63.72s;33611981;33611981;0;0.0;63;27.692068
63;QPLIB_5725.qs;343;0.0116533;33132505;45.76s;33611981;33611981;479476;1.4265032459705365;64;
64;QPLIB_5725.qs;343;0.0116533;33185309;74.71s;33611981;33611981;426672;1.2694045019244775;65;
65;QPLIB_5725.qs;343;0.0116533;33438752;52.31s;33611981;33611981;173229;0.5153787276031127;66;
66;QPLIB_5725.qs;343;0.0116533;33286398;80.96s;33611981;33611981;325583;0.9686516245501865;67;
67;QPLIB_5725.qs;343;0.0116533;33239578;89.94s;33611981;33611981;372403;1.1079471929964497;68;
68;QPLIB_5725.qs;343;0.0116533;33611981;85.39s;33611981;33611981;0;0.0;69;47.59537
69;QPLIB_5725.qs;343;0.0116533;33533788;56.81s;33611981;33611981;78193;0.23263430977186378;70;
70;QPLIB_5725.qs;343;0.0116533;33577224;71.71s;33611981;33611981;34757;0.10340657993350645;71;
71;QPLIB_5725.qs;343;0.0116533;33173959;79.59s;33611981;33611981;438022;1.303172223023689;72;
72;QPLIB_5725.qs;343;0.0116533;33611981;58.48s;33611981;33611981;0;0.0;73;19.943953
73;QPLIB_5725.qs;343;0.0116533;33080133;68.71s;33611981;33611981;531848;1.582316734024097;74;
74;QPLIB_5725.qs;343;0.0116533;33577224;87.37s;33611981;33611981;34757;0.10340657993350645;75;
75;QPLIB_5725.qs;343;0.0116533;33611981;125.32s;33611981;33611981;0;0.0;76;89.220541
76;QPLIB_5725.qs;343;0.0116533;33105173;44.62s;33611981;33611981;506808;1.5078194885329728;77;
77;QPLIB_5725.qs;343;0.0116533;33404564;112.39s;33611981;33611981;207417;0.6170924587872402;78;
78;QPLIB_5725.qs;343;0.0116533;33611981;71.06s;33611981;33611981;0;0.0;79;33.940854
79;QPLIB_5725.qs;343;0.0116533;33251083;94.71s;33611981;33611981;360898;1.073718326807337;80;
80;QPLIB_5725.qs;343;0.0116533;33404564;102.54s;33611981;33611981;207417;0.6170924587872402;81;
81;QPLIB_5725.qs;343;0.0116533;33161878;54.98s;33611981;33611981;450103;1.3391147638694667;82;
82;QPLIB_5725.qs;343;0.0116533;33611981;102.09s;33611981;33611981;0;0.0;83;64.77536
83;QPLIB_5725.qs;343;0.0116533;33611981;38.92s;33611981;33611981;0;0.0;84;3.281356
84;QPLIB_5725.qs;343;0.0116533;33611981;40.78s;33611981;33611981;0;0.0;85;3.370974
85;QPLIB_5725.qs;343;0.0116533;33611981;92.23s;33611981;33611981;0;0.0;86;56.295833
86;QPLIB_5725.qs;343;0.0116533;33549423;69.02s;33611981;33611981;62558;0.1861181582840952;87;
87;QPLIB_5725.qs;343;0.0116533;33611981;53.57s;33611981;33611981;0;0.0;88;16.7146
88;QPLIB_5725.qs;343;0.0116533;33611981;88.53s;33611981;33611981;0;0.0;89;50.739216
89;QPLIB_5725.qs;343;0.0116533;33128292;88.69s;33611981;33611981;483689;1.4390374670270105;90;
90;QPLIB_5725.qs;343;0.0116533;33227996;148.57s;33611981;33611981;383985;1.1424051441657068;91;
91;QPLIB_5725.qs;343;0.0116533;33611981;47.13s;33611981;33611981;0;0.0;92;8.855241
92;QPLIB_5725.qs;343;0.0116533;33194084;110.22s;33611981;33611981;417897;1.243297739576849;93;
93;QPLIB_5725.qs;343;0.0116533;33611981;71.19s;33611981;33611981;0;0.0;94;32.989014
94;QPLIB_5725.qs;343;0.0116533;33577224;160.74s;33611981;33611981;34757;0.10340657993350645;95;
95;QPLIB_5725.qs;343;0.0116533;33611981;75.48s;33611981;33611981;0;0.0;96;37.375302
96;QPLIB_5725.qs;343;0.0116533;33611981;63.38s;33611981;33611981;0;0.0;97;26.869518
97;QPLIB_5725.qs;343;0.0116533;33492728;39.13s;33611981;33611981;119253;0.3547931316514787;98;
98;QPLIB_5725.qs;343;0.0116533;33611981;46.46s;33611981;33611981;0;0.0;99;9.658357
99;QPLIB_5725.qs;343;0.0116533;33311523;42.09s;33611981;33611981;300458;0.8939014930420198;100;
