;solver;instance;counter;iteration;local best;current best;time;cum time;opt obj value
0;MSTS;QPLIB_3693.qs;1;1;996.0;996.0;17.114335;17.114335;1148.0
1;MSTS;QPLIB_3693.qs;1;2;986.0;996.0;15.016706;32.131040999999996;1148.0
2;MSTS;QPLIB_3693.qs;1;3;996.0;996.0;14.951485;47.082526;1148.0
3;MSTS;QPLIB_3693.qs;1;4;1002.0;1002.0;16.030732;63.113258;1148.0
4;MSTS;QPLIB_3693.qs;1;5;1006.0;1006.0;15.007853;78.121111;1148.0
5;MSTS;QPLIB_3693.qs;1;6;1002.0;1006.0;14.887153;93.008264;1148.0
6;MSTS;QPLIB_3693.qs;1;7;1018.0;1018.0;14.93679;107.945054;1148.0
7;MSTS;QPLIB_3693.qs;1;8;1024.0;1024.0;14.991406;122.93646;1148.0
8;MSTS;QPLIB_3693.qs;1;9;1036.0;1036.0;14.841162;137.777622;1148.0
9;MSTS;QPLIB_3693.qs;1;10;1042.0;1042.0;14.896452;152.674074;1148.0
10;MSTS;QPLIB_3693.qs;1;11;1052.0;1052.0;16.177332;168.851406;1148.0
11;MSTS;QPLIB_3693.qs;1;12;1044.0;1052.0;14.815115;183.66652100000002;1148.0
12;MSTS;QPLIB_3693.qs;1;13;1018.0;1052.0;14.928804;198.595325;1148.0
13;MSTS;QPLIB_3693.qs;1;14;1016.0;1052.0;15.010405;213.60573;1148.0
14;MSTS;QPLIB_3693.qs;1;15;1016.0;1052.0;14.958483;228.564213;1148.0
15;MSTS;QPLIB_3693.qs;1;16;1046.0;1052.0;15.043111;243.607324;1148.0
16;MSTS;QPLIB_3693.qs;1;17;1050.0;1052.0;14.899179;258.506503;1148.0
17;MSTS;QPLIB_3693.qs;1;18;1036.0;1052.0;14.927062;273.433565;1148.0
18;MSTS;QPLIB_3693.qs;1;19;1022.0;1052.0;14.812021;288.245586;1148.0
19;MSTS;QPLIB_3693.qs;1;20;1026.0;1052.0;14.883799;303.129385;1148.0
20;MSTS;QPLIB_3693.qs;1;21;1026.0;1052.0;15.339207;318.468592;1148.0
21;MSTS;QPLIB_3693.qs;1;22;1044.0;1052.0;14.946433;333.415025;1148.0
22;MSTS;QPLIB_3693.qs;1;23;1036.0;1052.0;14.896218;348.311243;1148.0
23;MSTS;QPLIB_3693.qs;1;24;1030.0;1052.0;14.882606;363.193849;1148.0
24;MSTS;QPLIB_3693.qs;1;25;1022.0;1052.0;14.921167;378.115016;1148.0
25;MSTS;QPLIB_3693.qs;1;26;1028.0;1052.0;14.919957;393.034973;1148.0
26;MSTS;QPLIB_3693.qs;1;27;1040.0;1052.0;15.257096;408.292069;1148.0
27;MSTS;QPLIB_3693.qs;1;28;1036.0;1052.0;15.009032;423.301101;1148.0
28;MSTS;QPLIB_3693.qs;1;29;1042.0;1052.0;14.917918;438.219019;1148.0
