;Unnamed: 0;instance;size;density;obj value;time;opt obj value;opt obj value from file;gap;gap %;counter;cum time
0;0;QPLIB_3693.qs;1128;0.00232241;1062;589.48s;1150;1150;88;0.6514164520527191;1;
1;1;QPLIB_3693.qs;1128;0.00232241;1058;589.85s;1150;1150;92;0.6817148916830783;2;
2;2;QPLIB_3693.qs;1128;0.00232241;1072;589.75s;1150;1150;78;0.5756703529768217;3;
3;3;QPLIB_3693.qs;1128;0.00232241;1072;587.52s;1150;1150;78;0.5756703529768217;4;
4;4;QPLIB_3693.qs;1128;0.00232241;1052;594.36s;1150;1150;98;0.7271625511286169;5;
5;5;QPLIB_3693.qs;1128;0.00232241;1064;589.52s;1150;1150;86;0.6362672322375397;6;
6;6;QPLIB_3693.qs;1128;0.00232241;1060;590.70s;1150;1150;90;0.6665656718678987;7;
7;7;QPLIB_3693.qs;1128;0.00232241;1056;586.59s;1150;1150;94;0.6968641114982578;8;
8;8;QPLIB_3693.qs;1128;0.00232241;1060;590.88s;1150;1150;90;0.6665656718678987;9;
9;9;QPLIB_3693.qs;1128;0.00232241;1056;594.54s;1150;1150;94;0.6968641114982578;10;
10;10;QPLIB_3693.qs;1128;0.00232241;1056;594.81s;1150;1150;94;0.6968641114982578;11;
11;11;QPLIB_3693.qs;1128;0.00232241;1084;594.04s;1150;1150;66;0.4847750340857446;12;
12;12;QPLIB_3693.qs;1128;0.00232241;1068;593.25s;1150;1150;82;0.6059687926071807;13;
13;13;QPLIB_3693.qs;1128;0.00232241;1054;596.15s;1150;1150;96;0.7120133313134372;14;
14;14;QPLIB_3693.qs;1128;0.00232241;1078;594.31s;1150;1150;72;0.5302226935312832;15;
15;15;QPLIB_3693.qs;1128;0.00232241;1084;596.23s;1150;1150;66;0.4847750340857446;16;
16;16;QPLIB_3693.qs;1128;0.00232241;1050;594.08s;1150;1150;100;0.7423117709437964;17;
17;17;QPLIB_3693.qs;1128;0.00232241;1072;598.41s;1150;1150;78;0.5756703529768217;18;
18;18;QPLIB_3693.qs;1128;0.00232241;1080;595.67s;1150;1150;70;0.5150734737161037;19;
19;19;QPLIB_3693.qs;1128;0.00232241;1054;598.07s;1150;1150;96;0.7120133313134372;20;
20;20;QPLIB_3693.qs;1128;0.00232241;1064;598.01s;1150;1150;86;0.6362672322375397;21;
