;solver;instance;counter;iteration;local best;current best;time;cum time;opt obj value
0;SA;QPLIB_3642.qs;1;1;1022.0;1022.0;264.505129;264.505129;1034.0
1;SA;QPLIB_3642.qs;1;2;1022.0;1022.0;31.939385;296.444514;1034.0
2;SA;QPLIB_3642.qs;1;3;1022.0;1022.0;32.598547;329.043061;1034.0
3;SA;QPLIB_3642.qs;1;4;1022.0;1022.0;31.545009;360.58807;1034.0
4;SA;QPLIB_3642.qs;1;5;1022.0;1022.0;32.221073;392.809143;1034.0
5;SA;QPLIB_3642.qs;1;6;1022.0;1022.0;32.484091;425.293234;1034.0
6;SA;QPLIB_3642.qs;1;7;1022.0;1022.0;31.871619;457.164853;1034.0
7;SA;QPLIB_3642.qs;1;8;1022.0;1022.0;32.269213;489.43406600000003;1034.0
8;SA;QPLIB_3642.qs;1;9;1022.0;1022.0;31.356385;520.790451;1034.0
9;SA;QPLIB_3642.qs;1;10;1022.0;1022.0;32.463047;553.253498;1034.0
10;SA;QPLIB_3642.qs;2;1;1012.0;1012.0;157.040079;157.040079;1034.0
11;SA;QPLIB_3642.qs;2;2;1018.0;1018.0;64.871091;221.91117;1034.0
12;SA;QPLIB_3642.qs;2;3;1018.0;1018.0;35.851691;257.762861;1034.0
13;SA;QPLIB_3642.qs;2;4;1018.0;1018.0;34.611208;292.374069;1034.0
14;SA;QPLIB_3642.qs;2;5;1018.0;1018.0;35.814312;328.188381;1034.0
15;SA;QPLIB_3642.qs;2;6;1018.0;1018.0;37.653562;365.841943;1034.0
16;SA;QPLIB_3642.qs;2;7;1022.0;1022.0;52.754976;418.596919;1034.0
17;SA;QPLIB_3642.qs;2;8;1024.0;1024.0;45.148124;463.745043;1034.0
18;SA;QPLIB_3642.qs;2;9;1024.0;1024.0;34.233484;497.978527;1034.0
19;SA;QPLIB_3642.qs;2;10;1024.0;1024.0;33.561851;531.540378;1034.0
20;SA;QPLIB_3642.qs;2;11;1024.0;1024.0;34.757777;566.298155;1034.0
21;SA;QPLIB_3642.qs;3;1;1010.0;1010.0;245.202813;245.202813;1034.0
22;SA;QPLIB_3642.qs;3;2;1016.0;1016.0;82.806739;328.009552;1034.0
23;SA;QPLIB_3642.qs;3;3;1016.0;1016.0;28.999143;357.008695;1034.0
24;SA;QPLIB_3642.qs;3;4;1016.0;1016.0;29.915474;386.924169;1034.0
25;SA;QPLIB_3642.qs;3;5;1016.0;1016.0;28.116169;415.04033799999996;1034.0
26;SA;QPLIB_3642.qs;3;6;1016.0;1016.0;29.579721;444.62005899999997;1034.0
27;SA;QPLIB_3642.qs;3;7;1016.0;1016.0;28.618772;473.238831;1034.0
28;SA;QPLIB_3642.qs;3;8;1016.0;1016.0;29.151595;502.390426;1034.0
29;SA;QPLIB_3642.qs;3;9;1016.0;1016.0;28.736093;531.126519;1034.0
30;SA;QPLIB_3642.qs;3;10;1016.0;1016.0;28.165293;559.2918119999999;1034.0
31;SA;QPLIB_3642.qs;4;1;1018.0;1018.0;242.469889;242.469889;1034.0
32;SA;QPLIB_3642.qs;4;2;1022.0;1022.0;65.956982;308.426871;1034.0
33;SA;QPLIB_3642.qs;4;3;1022.0;1022.0;30.192918;338.61978899999997;1034.0
34;SA;QPLIB_3642.qs;4;4;1022.0;1022.0;31.113735;369.733524;1034.0
35;SA;QPLIB_3642.qs;4;5;1022.0;1022.0;30.151463;399.88498699999997;1034.0
36;SA;QPLIB_3642.qs;4;6;1022.0;1022.0;31.643402;431.528389;1034.0
37;SA;QPLIB_3642.qs;4;7;1022.0;1022.0;30.48957;462.01795899999996;1034.0
38;SA;QPLIB_3642.qs;4;8;1022.0;1022.0;30.245404;492.26336299999997;1034.0
39;SA;QPLIB_3642.qs;4;9;1022.0;1022.0;30.181788;522.445151;1034.0
40;SA;QPLIB_3642.qs;4;10;1022.0;1022.0;31.046205;553.491356;1034.0
41;SA;QPLIB_3642.qs;5;1;1018.0;1018.0;235.494825;235.494825;1034.0
42;SA;QPLIB_3642.qs;5;2;1018.0;1018.0;33.276069;268.770894;1034.0
43;SA;QPLIB_3642.qs;5;3;1018.0;1018.0;32.766734;301.537628;1034.0
44;SA;QPLIB_3642.qs;5;4;1018.0;1018.0;33.527659;335.065287;1034.0
45;SA;QPLIB_3642.qs;5;5;1018.0;1018.0;33.535618;368.600905;1034.0
46;SA;QPLIB_3642.qs;5;6;1018.0;1018.0;32.030173;400.631078;1034.0
47;SA;QPLIB_3642.qs;5;7;1018.0;1018.0;32.342322;432.97339999999997;1034.0
48;SA;QPLIB_3642.qs;5;8;1024.0;1024.0;72.275749;505.249149;1034.0
49;SA;QPLIB_3642.qs;5;9;1024.0;1024.0;32.285547;537.5346959999999;1034.0
50;SA;QPLIB_3642.qs;5;10;1024.0;1024.0;33.19737;570.732066;1034.0
51;SA;QPLIB_3642.qs;6;1;1016.0;1016.0;222.968302;222.968302;1034.0
52;SA;QPLIB_3642.qs;6;2;1018.0;1018.0;49.802149;272.770451;1034.0
53;SA;QPLIB_3642.qs;6;3;1018.0;1018.0;35.222244;307.992695;1034.0
54;SA;QPLIB_3642.qs;6;4;1018.0;1018.0;35.041761;343.034456;1034.0
55;SA;QPLIB_3642.qs;6;5;1018.0;1018.0;35.670434;378.70489;1034.0
56;SA;QPLIB_3642.qs;6;6;1020.0;1020.0;53.865356;432.570246;1034.0
57;SA;QPLIB_3642.qs;6;7;1020.0;1020.0;33.489751;466.059997;1034.0
58;SA;QPLIB_3642.qs;6;8;1022.0;1022.0;59.395268;525.455265;1034.0
59;SA;QPLIB_3642.qs;6;9;1022.0;1022.0;30.19625;555.651515;1034.0
60;SA;QPLIB_3642.qs;7;1;1012.0;1012.0;204.942755;204.942755;1034.0
61;SA;QPLIB_3642.qs;7;2;1012.0;1012.0;28.952605;233.89536;1034.0
62;SA;QPLIB_3642.qs;7;3;1024.0;1024.0;59.039289;292.934649;1034.0
63;SA;QPLIB_3642.qs;7;4;1024.0;1024.0;23.419525;316.354174;1034.0
64;SA;QPLIB_3642.qs;7;5;1024.0;1024.0;24.510416;340.86459;1034.0
65;SA;QPLIB_3642.qs;7;6;1026.0;1026.0;36.491074;377.355664;1034.0
66;SA;QPLIB_3642.qs;7;7;1026.0;1026.0;25.061632;402.417296;1034.0
67;SA;QPLIB_3642.qs;7;8;1026.0;1026.0;25.487183;427.904479;1034.0
68;SA;QPLIB_3642.qs;7;9;1026.0;1026.0;25.421536;453.326015;1034.0
69;SA;QPLIB_3642.qs;7;10;1026.0;1026.0;24.325512;477.651527;1034.0
70;SA;QPLIB_3642.qs;7;11;1028.0;1028.0;44.597415;522.2489419999999;1034.0
71;SA;QPLIB_3642.qs;7;12;1028.0;1028.0;23.907391;546.156333;1034.0
72;SA;QPLIB_3642.qs;7;13;1030.0;1030.0;23.62461;569.780943;1034.0
73;SA;QPLIB_3642.qs;8;1;1024.0;1024.0;280.599255;280.599255;1034.0
74;SA;QPLIB_3642.qs;8;2;1024.0;1024.0;32.278048;312.87730300000004;1034.0
75;SA;QPLIB_3642.qs;8;3;1024.0;1024.0;30.526489;343.403792;1034.0
76;SA;QPLIB_3642.qs;8;4;1024.0;1024.0;29.140156;372.543948;1034.0
77;SA;QPLIB_3642.qs;8;5;1024.0;1024.0;31.090887;403.634835;1034.0
78;SA;QPLIB_3642.qs;8;6;1024.0;1024.0;29.167957;432.802792;1034.0
79;SA;QPLIB_3642.qs;8;7;1024.0;1024.0;28.593087;461.39587900000004;1034.0
80;SA;QPLIB_3642.qs;8;8;1024.0;1024.0;29.724081;491.11996000000005;1034.0
81;SA;QPLIB_3642.qs;8;9;1024.0;1024.0;29.476026;520.595986;1034.0
82;SA;QPLIB_3642.qs;8;10;1024.0;1024.0;30.03658;550.632566;1034.0
83;SA;QPLIB_3642.qs;9;1;1020.0;1020.0;156.645521;156.645521;1034.0
84;SA;QPLIB_3642.qs;9;2;1022.0;1022.0;35.838237;192.483758;1034.0
85;SA;QPLIB_3642.qs;9;3;1022.0;1022.0;28.773233;221.256991;1034.0
86;SA;QPLIB_3642.qs;9;4;1022.0;1022.0;28.680503;249.93749400000002;1034.0
87;SA;QPLIB_3642.qs;9;5;1022.0;1022.0;28.92505;278.862544;1034.0
88;SA;QPLIB_3642.qs;9;6;1022.0;1022.0;29.413632;308.276176;1034.0
89;SA;QPLIB_3642.qs;9;7;1022.0;1022.0;28.536077;336.812253;1034.0
90;SA;QPLIB_3642.qs;9;8;1022.0;1022.0;30.090952;366.903205;1034.0
91;SA;QPLIB_3642.qs;9;9;1022.0;1022.0;29.235628;396.138833;1034.0
92;SA;QPLIB_3642.qs;9;10;1022.0;1022.0;29.315418;425.454251;1034.0
93;SA;QPLIB_3642.qs;9;11;1024.0;1024.0;58.101725;483.555976;1034.0
94;SA;QPLIB_3642.qs;9;12;1024.0;1024.0;26.840104;510.39608;1034.0
95;SA;QPLIB_3642.qs;9;13;1024.0;1024.0;27.590636;537.986716;1034.0
96;SA;QPLIB_3642.qs;9;14;1024.0;1024.0;28.820723;566.807439;1034.0
97;SA;QPLIB_3642.qs;10;1;1008.0;1008.0;161.469879;161.469879;1034.0
98;SA;QPLIB_3642.qs;10;2;1010.0;1010.0;53.887188;215.357067;1034.0
99;SA;QPLIB_3642.qs;10;3;1016.0;1016.0;63.184986;278.542053;1034.0
100;SA;QPLIB_3642.qs;10;4;1018.0;1018.0;37.940714;316.48276699999997;1034.0
101;SA;QPLIB_3642.qs;10;5;1018.0;1018.0;28.680977;345.163744;1034.0
102;SA;QPLIB_3642.qs;10;6;1018.0;1018.0;29.460222;374.623966;1034.0
103;SA;QPLIB_3642.qs;10;7;1020.0;1020.0;47.96396;422.587926;1034.0
104;SA;QPLIB_3642.qs;10;8;1020.0;1020.0;30.921782;453.509708;1034.0
105;SA;QPLIB_3642.qs;10;9;1020.0;1020.0;29.661374;483.171082;1034.0
106;SA;QPLIB_3642.qs;10;10;1020.0;1020.0;29.633852;512.804934;1034.0
107;SA;QPLIB_3642.qs;10;11;1020.0;1020.0;31.192798;543.997732;1034.0
108;SA;QPLIB_3642.qs;10;12;1020.0;1020.0;29.494505;573.492237;1034.0
109;SA;QPLIB_3642.qs;11;1;1008.0;1008.0;184.170243;184.170243;1034.0
110;SA;QPLIB_3642.qs;11;2;1018.0;1018.0;130.415409;314.585652;1034.0
111;SA;QPLIB_3642.qs;11;3;1018.0;1018.0;30.67206;345.257712;1034.0
112;SA;QPLIB_3642.qs;11;4;1018.0;1018.0;29.992514;375.250226;1034.0
113;SA;QPLIB_3642.qs;11;5;1018.0;1018.0;29.706837;404.957063;1034.0
114;SA;QPLIB_3642.qs;11;6;1018.0;1018.0;30.399595;435.35665800000004;1034.0
115;SA;QPLIB_3642.qs;11;7;1018.0;1018.0;30.416659;465.773317;1034.0
116;SA;QPLIB_3642.qs;11;8;1018.0;1018.0;32.371606;498.144923;1034.0
117;SA;QPLIB_3642.qs;11;9;1018.0;1018.0;31.741694;529.886617;1034.0
118;SA;QPLIB_3642.qs;11;10;1018.0;1018.0;31.330078;561.216695;1034.0
119;SA;QPLIB_3642.qs;12;1;1022.0;1022.0;237.364735;237.364735;1034.0
120;SA;QPLIB_3642.qs;12;2;1022.0;1022.0;30.177925;267.54266;1034.0
121;SA;QPLIB_3642.qs;12;3;1022.0;1022.0;30.127984;297.670644;1034.0
122;SA;QPLIB_3642.qs;12;4;1022.0;1022.0;30.900779;328.571423;1034.0
123;SA;QPLIB_3642.qs;12;5;1022.0;1022.0;30.216527;358.78795;1034.0
124;SA;QPLIB_3642.qs;12;6;1022.0;1022.0;32.092549;390.880499;1034.0
125;SA;QPLIB_3642.qs;12;7;1022.0;1022.0;31.404757;422.285256;1034.0
126;SA;QPLIB_3642.qs;12;8;1022.0;1022.0;30.504431;452.789687;1034.0
127;SA;QPLIB_3642.qs;12;9;1022.0;1022.0;31.416004;484.205691;1034.0
128;SA;QPLIB_3642.qs;12;10;1022.0;1022.0;29.03714;513.242831;1034.0
129;SA;QPLIB_3642.qs;12;11;1022.0;1022.0;29.887357;543.130188;1034.0
130;SA;QPLIB_3642.qs;12;12;1022.0;1022.0;30.512779;573.642967;1034.0
131;SA;QPLIB_3642.qs;13;1;1016.0;1016.0;195.180724;195.180724;1034.0
132;SA;QPLIB_3642.qs;13;2;1018.0;1018.0;44.942719;240.123443;1034.0
133;SA;QPLIB_3642.qs;13;3;1018.0;1018.0;28.149;268.272443;1034.0
134;SA;QPLIB_3642.qs;13;4;1018.0;1018.0;28.222306;296.494749;1034.0
135;SA;QPLIB_3642.qs;13;5;1020.0;1020.0;31.624275;328.11902399999997;1034.0
136;SA;QPLIB_3642.qs;13;6;1020.0;1020.0;26.281735;354.400759;1034.0
137;SA;QPLIB_3642.qs;13;7;1022.0;1022.0;45.344942;399.745701;1034.0
138;SA;QPLIB_3642.qs;13;8;1022.0;1022.0;23.929216;423.674917;1034.0
139;SA;QPLIB_3642.qs;13;9;1022.0;1022.0;24.472442;448.147359;1034.0
140;SA;QPLIB_3642.qs;13;10;1022.0;1022.0;23.485204;471.632563;1034.0
141;SA;QPLIB_3642.qs;13;11;1022.0;1022.0;23.404757;495.03732;1034.0
142;SA;QPLIB_3642.qs;13;12;1022.0;1022.0;24.390351;519.427671;1034.0
143;SA;QPLIB_3642.qs;13;13;1022.0;1022.0;24.765545;544.193216;1034.0
144;SA;QPLIB_3642.qs;13;14;1022.0;1022.0;24.471842;568.665058;1034.0
145;SA;QPLIB_3642.qs;14;1;1020.0;1020.0;161.850064;161.850064;1034.0
146;SA;QPLIB_3642.qs;14;2;1020.0;1020.0;34.176125;196.026189;1034.0
147;SA;QPLIB_3642.qs;14;3;1020.0;1020.0;33.245709;229.271898;1034.0
148;SA;QPLIB_3642.qs;14;4;1020.0;1020.0;34.296628;263.568526;1034.0
149;SA;QPLIB_3642.qs;14;5;1020.0;1020.0;34.139139;297.707665;1034.0
150;SA;QPLIB_3642.qs;14;6;1020.0;1020.0;33.80169;331.509355;1034.0
151;SA;QPLIB_3642.qs;14;7;1022.0;1022.0;36.16474;367.674095;1034.0
152;SA;QPLIB_3642.qs;14;8;1022.0;1022.0;32.674484;400.348579;1034.0
153;SA;QPLIB_3642.qs;14;9;1022.0;1022.0;33.407408;433.755987;1034.0
154;SA;QPLIB_3642.qs;14;10;1022.0;1022.0;33.247266;467.003253;1034.0
155;SA;QPLIB_3642.qs;14;11;1022.0;1022.0;32.165036;499.168289;1034.0
156;SA;QPLIB_3642.qs;14;12;1022.0;1022.0;31.742421;530.91071;1034.0
