;Unnamed: 0;instance;size;density;obj value;time;opt obj value;opt obj value from file;gap;gap %;counter;cum time
0;0;QPLIB_3693.qs;1128;0.00232241;1136;517.88s;1150;1150;14;0.09089531889107712;1;
1;1;QPLIB_3693.qs;1128;0.00232241;1134;332.93s;1150;1150;16;0.10604453870625662;2;
2;2;QPLIB_3693.qs;1128;0.00232241;1138;360.10s;1150;1150;12;0.07574609907589759;3;
3;3;QPLIB_3693.qs;1128;0.00232241;1144;514.68s;1150;1150;6;0.030298439630359032;4;
4;4;QPLIB_3693.qs;1128;0.00232241;1132;565.37s;1150;1150;18;0.12119375852143616;5;
5;5;QPLIB_3693.qs;1128;0.00232241;1140;549.58s;1150;1150;10;0.06059687926071808;6;
6;6;QPLIB_3693.qs;1128;0.00232241;1142;578.03s;1150;1150;8;0.04544765944553856;7;
7;7;QPLIB_3693.qs;1128;0.00232241;1136;566.20s;1150;1150;14;0.09089531889107712;8;
8;8;QPLIB_3693.qs;1128;0.00232241;1144;558.44s;1150;1150;6;0.030298439630359032;9;
9;9;QPLIB_3693.qs;1128;0.00232241;1134;309.38s;1150;1150;16;0.10604453870625662;10;
10;10;QPLIB_3693.qs;1128;0.00232241;1146;528.12s;1150;1150;4;0.015149219815179511;11;
11;11;QPLIB_3693.qs;1128;0.00232241;1136;575.26s;1150;1150;14;0.09089531889107712;12;
12;12;QPLIB_3693.qs;1128;0.00232241;1140;534.00s;1150;1150;10;0.06059687926071808;13;
13;13;QPLIB_3693.qs;1128;0.00232241;1138;573.99s;1150;1150;12;0.07574609907589759;14;
14;14;QPLIB_3693.qs;1128;0.00232241;1138;541.91s;1150;1150;12;0.07574609907589759;15;
15;15;QPLIB_3693.qs;1128;0.00232241;1138;426.12s;1150;1150;12;0.07574609907589759;16;
16;16;QPLIB_3693.qs;1128;0.00232241;1136;554.96s;1150;1150;14;0.09089531889107712;17;
17;17;QPLIB_3693.qs;1128;0.00232241;1136;553.84s;1150;1150;14;0.09089531889107712;18;
18;18;QPLIB_3693.qs;1128;0.00232241;1140;548.10s;1150;1150;10;0.06059687926071808;19;
19;19;QPLIB_3693.qs;1128;0.00232241;1140;572.74s;1150;1150;10;0.06059687926071808;20;
20;20;QPLIB_3693.qs;1128;0.00232241;1140;542.31s;1150;1150;10;0.06059687926071808;21;
21;21;QPLIB_3693.qs;1128;0.00232241;1134;553.27s;1150;1150;16;0.10604453870625662;22;
