;instance;size;density;obj value;time;opt obj value;opt obj value from file;gap;gap %;counter;cum time
0;QPLIB_3705.qs;378;0.00680272;384;598.90s;384;384;0;0.0;1;15.101965
1;QPLIB_3705.qs;378;0.00680272;382;598.98s;384;384;2;0.5208333333333333;2;
2;QPLIB_3705.qs;378;0.00680272;382;599.40s;384;384;2;0.5208333333333333;3;
3;QPLIB_3705.qs;378;0.00680272;378;598.33s;384;384;6;1.5625;4;
4;QPLIB_3705.qs;378;0.00680272;380;599.59s;384;384;4;1.0416666666666665;5;
5;QPLIB_3705.qs;378;0.00680272;382;599.61s;384;384;2;0.5208333333333333;6;
6;QPLIB_3705.qs;378;0.00680272;382;599.47s;384;384;2;0.5208333333333333;7;
7;QPLIB_3705.qs;378;0.00680272;376;599.29s;384;384;8;2.083333333333333;8;
8;QPLIB_3705.qs;378;0.00680272;382;599.59s;384;384;2;0.5208333333333333;9;
9;QPLIB_3705.qs;378;0.00680272;384;599.01s;384;384;0;0.0;10;14.416399000000002
10;QPLIB_3705.qs;378;0.00680272;380;599.69s;384;384;4;1.0416666666666665;11;
11;QPLIB_3705.qs;378;0.00680272;380;599.78s;384;384;4;1.0416666666666665;12;
12;QPLIB_3705.qs;378;0.00680272;380;599.08s;384;384;4;1.0416666666666665;13;
13;QPLIB_3705.qs;378;0.00680272;378;598.70s;384;384;6;1.5625;14;
14;QPLIB_3705.qs;378;0.00680272;384;598.88s;384;384;0;0.0;15;13.195285
15;QPLIB_3705.qs;378;0.00680272;380;599.77s;384;384;4;1.0416666666666665;16;
16;QPLIB_3705.qs;378;0.00680272;380;598.69s;384;384;4;1.0416666666666665;17;
17;QPLIB_3705.qs;378;0.00680272;382;599.87s;384;384;2;0.5208333333333333;18;
18;QPLIB_3705.qs;378;0.00680272;382;599.51s;384;384;2;0.5208333333333333;19;
19;QPLIB_3705.qs;378;0.00680272;380;599.27s;384;384;4;1.0416666666666665;20;
20;QPLIB_3705.qs;378;0.00680272;380;598.99s;384;384;4;1.0416666666666665;21;
21;QPLIB_3705.qs;378;0.00680272;384;598.87s;384;384;0;0.0;22;9.34525
22;QPLIB_3705.qs;378;0.00680272;384;599.30s;384;384;0;0.0;23;27.629772
23;QPLIB_3705.qs;378;0.00680272;382;598.65s;384;384;2;0.5208333333333333;24;
24;QPLIB_3705.qs;378;0.00680272;378;598.95s;384;384;6;1.5625;25;
25;QPLIB_3705.qs;378;0.00680272;374;599.10s;384;384;10;2.604166666666667;26;
26;QPLIB_3705.qs;378;0.00680272;382;599.33s;384;384;2;0.5208333333333333;27;
27;QPLIB_3705.qs;378;0.00680272;384;599.95s;384;384;0;0.0;28;8.691684
28;QPLIB_3705.qs;378;0.00680272;382;599.37s;384;384;2;0.5208333333333333;29;
29;QPLIB_3705.qs;378;0.00680272;376;599.25s;384;384;8;2.083333333333333;30;
30;QPLIB_3705.qs;378;0.00680272;380;598.76s;384;384;4;1.0416666666666665;31;
31;QPLIB_3705.qs;378;0.00680272;376;599.54s;384;384;8;2.083333333333333;32;
32;QPLIB_3705.qs;378;0.00680272;382;599.63s;384;384;2;0.5208333333333333;33;
33;QPLIB_3705.qs;378;0.00680272;380;599.20s;384;384;4;1.0416666666666665;34;
34;QPLIB_3705.qs;378;0.00680272;380;598.44s;384;384;4;1.0416666666666665;35;
35;QPLIB_3705.qs;378;0.00680272;380;599.33s;384;384;4;1.0416666666666665;36;
36;QPLIB_3705.qs;378;0.00680272;382;599.40s;384;384;2;0.5208333333333333;37;
37;QPLIB_3705.qs;378;0.00680272;382;598.76s;384;384;2;0.5208333333333333;38;
38;QPLIB_3705.qs;378;0.00680272;378;599.42s;384;384;6;1.5625;39;
39;QPLIB_3705.qs;378;0.00680272;384;599.67s;384;384;0;0.0;40;6.806142
40;QPLIB_3705.qs;378;0.00680272;384;599.72s;384;384;0;0.0;41;41.200281
41;QPLIB_3705.qs;378;0.00680272;384;599.50s;384;384;0;0.0;42;10.570024
42;QPLIB_3705.qs;378;0.00680272;384;599.64s;384;384;0;0.0;43;8.67422
43;QPLIB_3705.qs;378;0.00680272;380;598.68s;384;384;4;1.0416666666666665;44;
